"","Doc","Score","Documents"
"1","1"," 4","love like see unlimit word count mani time post exceed allot word count s frustrat condens need say time sometim need abl say allow post good peopl read don t read scroll past m sure took poll user find agre need unlimit word count don t limit sole purpos make sure peopl s post shorter give peopl opportun add much need post sometim need abl add post proper say need say tighten word count doesn t alway cut"
"2","2"," 1","app solid easi use complaint content feed option improv feed realli offer real option except ad new peopl follow flexibl let choos see less exampl feed need see everi singl connect like someth rememb alway use see current connect connect new peopl use see lot everi day help info contact connect someon new industri work conjunct peopl may know info almost never see type updat anymor feed explain feed offer zero flexibl see thing import"
"3","3"," 5","first introduc app ll admit sceptic leeri ve experienc mani mani websit attempt life easier new app fall face particular app probabl easiest maneuv allow stay connect easili notif simpl maneuv around site choos premier member benefit worth money love link ve becom friend worldwid industri m person friend multitud differ interest get app"
"4","4"," 2","great profession app love work career look opportun use haven t weird glitch yet downgrad experi deduct point though recent chang messag button move upper right place bottom middl screen add post button seem like wors ui experi know check respond messag far post messag s kinda awkward move messag button find t swipe right go last page instead usual tap arrow upper left improv"
"5","5"," 0","app general interact work need howev appreci alert ever sinc last updat ive gotten alert sever time day open app alert end ask know someon individu everi singl everi dismiss know gotten point serious turn alert app signific decreas use last updat fine now beg attent realli give"
"6","6","-1","give happen swipe featur ignoredelet peopl don t send invit"
"7","7"," 2","updat profil pictur everi tri readjust color photo make super dark matter imag select ve tri sever time close app take continu definit minor issu annoy sure absolut love s easi fun connect busi world network build relationship across differ market industri s absolut genius media platform kudo creator now wish premium cheaper 😂"
"8","8"," 2","danger product user bewar recent discov without author anyon access appl devic charg almost per month someth call premium busi abl submit request refund past two month via appl support appl advis two month refund even though appar began charg month decemb websit give mean cancel request refund charg appar fraudul due mistak appar premium busi account corpor retir individu limit incom need premium servic"
"9","9","-4","got lot peopl connect use abl accept hem quick now kept pop suggest annoy interpret task tri complet hate pleas remov function allow peopl note connect auto record connect eg go confer today everyon ad today confer pain point rememb met person go confer add ton peopl home tri recal met today open easi find anymor"
